week,away,home,spread1,spread2,pick,pts1,pts2
1,Falcons,Eagles,3.5,-3.5,Eagles,12,18
1,Bills,Ravens,5.5,-5.5,Ravens,3,47
1,Bengals,Colts,3.5,-3.5,Colts,34,23
1,Browns,Steelers,6.5,-6.5,Steelers,21,21
1,Titans,Dolphins,-1.5,1.5,Titans,20,27
1,Niners,Vikings,5.5,-5.5,Vikings,16,24
1,Texans,Patriots,6.5,-6.5,Patriots,20,27
1,Buccaneers,Saints,9.5,-9.5,Buccaneers,48,40
1,Jaguars,Giants,-2.5,2.5,Jaguars,20,15
1,Chiefs,Chargers,3.5,-3.5,Chargers,38,28
1,Cowboys,Panthers,2.5,-2.5,Panthers,8,16
1,Seahawks,Broncos,2.5,-2.5,Seahawks,24,27
1,Redskins,Cardinals,0.5,-0.5,Cardinals,24,6
1,Bears,Packers,8.5,-8.5,Bears,23,24
1,Jets,Lions,6.5,-6.5,Lions,48,17
1,Rams,Raiders,-2.5,2.5,Rams,33,13
2,Ravens,Bengals,-0.5,0.5,Ravens,23,34
2,Panthers,Falcons,5.5,-5.5,Panthers,24,31
2,Chargers,Bills,-7.5,7.5,Chargers,31,20
2,Browns,Saints,8.5,-8.5,Browns,18,21
2,Vikings,Packers,0.5,-0.5,Packers,29,29
2,Texans,Titans,-2.5,2.5,Titans,17,20
2,Colts,Redskins,5.5,-5.5,Colts,21,9
2,Chiefs,Steelers,5.5,-5.5,Chiefs,42,37
2,Dolphins,Jets,2.5,-2.5,Dolphins,20,12
2,Eagles,Buccaneers,-3.5,3.5,Eagles,21,27
2,Lions,Niners,5.5,-5.5,Niners,27,30
2,Cardinals,Rams,12.5,-12.5,Cardinals,0,34
2,Raiders,Broncos,5.5,-5.5,Raiders,19,20
2,Patriots,Jaguars,-2.5,2.5,Patriots,20,31
2,Giants,Cowboys,2.5,-2.5,Giants,13,20
2,Seahawks,Bears,3.5,-3.5,Seahawks,17,24
3,Jets,Browns,3.5,-3.5,Jets,17,21
3,Saints,Falcons,3.5,-3.5,Saints,43,37
3,Bills,Vikings,16.5,-16.5,Vikings,27,6
3,Bengals,Panthers,2.5,-2.5,Bengals,21,31
3,Broncos,Ravens,4.5,-4.5,Ravens,14,27
3,Packers,Redskins,-2.5,2.5,Packers,17,31
3,Titans,Jaguars,7.5,-7.5,Titans,9,6
3,Colts,Eagles,6.5,-6.5,Colts,16,20
3,Niners,Chiefs,6.5,-6.5,Chiefs,27,38
3,Raiders,Dolphins,3.5,-3.5,Dolphins,20,28
3,Giants,Texans,5.5,-5.5,Giants,27,22
3,Chargers,Rams,6.5,-6.5,Chargers,23,35
3,Bears,Cardinals,-4.5,4.5,Bears,16,14
3,Cowboys,Seahawks,2.5,-2.5,Seahawks,13,24
3,Patriots,Lions,-6.5,6.5,Patriots,10,26
3,Steelers,Buccaneers,-1.5,1.5,Buccaneers,30,27
4,Vikings,Rams,6.5,-6.5,Rams,31,38
4,Bengals,Falcons,5.5,-5.5,Bengals,37,36
4,Bills,Packers,10.5,-10.5,Bills,0,22
4,Buccaneers,Bears,2.5,-2.5,Buccaneers,10,48
4,Lions,Cowboys,2.5,-2.5,Lions,24,26
4,Eagles,Titans,-3.5,3.5,Titans,23,26
