"team","record","record.ats","points.for","points.against","point.diff","pfats","paats","avgspread","atsdiff","mov","movats"
"Chiefs","6 - 1","6 - 1",260,182,78,251.5,190.5,"-1.214",61,"11.1428571428571","8.71428571428571"
"Ravens","4 - 3","4 - 3",176,101,75,161.5,115.5,"-2.071",46,"10.7142857142857","6.57142857142857"
"Bears","4 - 3","4 - 3",170,134,36,174,130,"0.571",44,"5.14285714285714","6.28571428571429"
"Jets","3 - 4","3 - 4",182,176,6,197.5,160.5,"2.214",37,"0.857142857142857","5.28571428571429"
"Seahawks","4 - 3","4 - 3",143,117,26,148,112,"0.714",36,"3.71428571428571","5.14285714285714"
"Colts","2 - 5","3 - 4",189,185,4,203.5,170.5,"2.071",33,"0.571428571428571","4.71428571428571"
"Cowboys","3 - 4","3 - 4",140,123,17,147.5,115.5,"1.071",32,"2.42857142857143","4.57142857142857"
"Bills","2 - 5","3 - 4",81,175,-94,138.5,117.5,"8.214",21,"-13.4285714285714","3"
"Lions","4 - 3","6 - 1",157,158,-1,166,149,"1.286",17,"-0.142857142857143","2.42857142857143"
"Browns","3 - 4","5 - 2",151,177,-26,171.5,156.5,"2.929",15,"-3.71428571428571","2.14285714285714"
"Titans","3 - 4","4 - 3",106,127,-21,123.5,109.5,"2.5",14,"-3","2"
"Broncos","3 - 4","4 - 3",165,164,1,171.5,157.5,"0.929",14,"0.142857142857143","2"
"Panthers","5 - 2","4 - 3",142,131,11,142,131,"0",11,"1.57142857142857","1.57142857142857"
"Giants","1 - 6","3 - 4",137,185,-48,166.5,155.5,"4.214",11,"-6.85714285714286","1.57142857142857"
"Redskins","5 - 2","5 - 2",126,121,5,127,120,"0.143",7,"0.714285714285714","1"
"Buccaneers","4 - 3","3 - 4",167,196,-29,184,179,"2.429",5,"-4.14285714285714","0.714285714285714"
"Rams","7 - 0","5 - 2",235,128,107,182.5,180.5,"-7.5",2,"15.2857142857143","0.285714285714286"
"Bengals","4 - 3","4 - 3",184,203,-19,192.5,194.5,"1.214",-2,"-2.71428571428571","-0.285714285714286"
"Dolphins","4 - 3","4 - 3",151,177,-26,162.5,165.5,"1.643",-3,"-3.71428571428571","-0.428571428571429"
"Saints","6 - 1","5 - 2",204,163,41,182,185,"-3.143",-3,"5.85714285714286","-0.428571428571429"
"Texans","4 - 3","2 - 5",155,144,11,147.5,151.5,"-1.071",-4,"1.57142857142857","-0.571428571428571"
"Niners","2 - 5","2 - 5",128,185,-57,151,162,"3.286",-11,"-8.14285714285714","-1.57142857142857"
"Cardinals","1 - 6","4 - 3",92,184,-92,129.5,146.5,"5.357",-17,"-13.1428571428571","-2.42857142857143"
"Steelers","5 - 2","4 - 3",171,154,17,153,172,"-2.571",-19,"2.42857142857143","-2.71428571428571"
"Chargers","5 - 2","3 - 4",195,163,32,167.5,190.5,"-3.929",-23,"4.57142857142857","-3.28571428571429"
"Raiders","2 - 5","3 - 4",110,176,-66,127,159,"2.429",-32,"-9.42857142857143","-4.57142857142857"
"Vikings","5 - 2","4 - 3",177,165,12,151.5,190.5,"-3.643",-39,"1.71428571428571","-5.57142857142857"
"Eagles","3 - 4","2 - 5",154,138,16,126.5,165.5,"-3.929",-39,"2.28571428571429","-5.57142857142857"
"Patriots","5 - 2","4 - 3",214,179,35,174.5,218.5,"-5.643",-44,"5","-6.28571428571429"
"Packers","5 - 2","3 - 4",115,114,1,91.5,137.5,"-3.357",-46,"0.142857142857143","-6.57142857142857"
"Falcons","3 - 4","2 - 5",190,212,-22,172.5,229.5,"-2.5",-57,"-3.14285714285714","-8.14285714285714"
"Jaguars","3 - 4","3 - 4",116,146,-30,97.5,164.5,"-2.643",-67,"-4.28571428571429","-9.57142857142857"
